Agency,Posting Type,NUmber Of Positions,Business Title,Civil Service Title,Title Classification,Job Category,Time Indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency
HRA/DEPT OF SOCIAL SERVICES,Internal,1,PROJECT SPECIALIST,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),92194,106023,Annual
NYC HOUSING AUTHORITY,Internal,1,DEPUTY DIRECTOR,ADMINISTRATIVE SUPERVISOR OF S,Competitive-1,"Technology, Data & Innovation Building Operations & Maintenance",F,Manager,72038,192152,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Eligibility Coordinator / Adoption Liaison,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),49390,59183,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Child Care Associate, Bureau of Childcare",COMMUNITY ASSOCIATE,Non-Competitive-5,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),38333,44083,Annual
DEPARTMENT OF CORRECTION,Internal,1,Administrative Public Information Specialist,ADMINISTRATIVE PUBLIC INFORMAT,Competitive-1,Communications & Intergovernmental Affairs,F,Manager,95000,115000,Annual
DEPT. OF HOMELESS SERVICES,External,1,Intake Worker,COMMUNITY ASSOCIATE,Non-Competitive-5,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),38333,63794,Annual
NYC HOUSING AUTHORITY,External,1,Neighborhood Planner,ADMINISTRATIVE HOUSING SUPERIN,Competitive-1,Administration & Human Resources Building Operations & Maintenance,F,Manager,58700,161534,Annual
OFFICE OF EMERGENCY MANAGEMENT,External,1,AGENCY COUNSEL,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),71423,82137,Annual
BRONX DISTRICT ATTORNEY,External,15,"Assistant District Attorney - 	Economic Crimes Bureau",ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),80440,167610,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,6,City Custodial Assistant,CITY CUSTODIAL ASSISTANT,Labor-3,Building Operations & Maintenance,F,Entry-Level,32260,36915,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,ATTORNEY INTERNE,AGENCY ATTORNEY INTERNE,Non-Competitive-5,Legal Affairs Social Services,F,Experienced (non-manager),62397,75760,Annual
LAW DEPARTMENT,External,1,Computer Technician,COMPUTER AIDE,Competitive-1,"Technology, Data & Innovation",P,Experienced (non-manager),24.3043,27.9502,Hourly
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Assistant Counsel,AGENCY ATTORNEY INTERNE,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),62397,71757,Annual
DEPT. OF HOMELESS SERVICES,External,2,COMMUNITY ASSISTANT,COMMUNITY ASSISTANT,Non-Competitive-5,Administration & Human Resources Social Services,F,Experienced (non-manager),32520,42191,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Analyst  Technology Budget & Management,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Technology, Data & Innovation Policy, Research & Analysis",F,Entry-Level,46856,70291,Annual
BRONX DISTRICT ATTORNEY,External,6,Senior Rackets Investigator,SENIOR RACKETS INVESTIGATOR,Non-Competitive-5,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),70877,70877,Annual
DEPARTMENT OF PROBATION,Internal,1,Chief Press & Communications Officer,PRESS OFFICER (OFFICE OF THE M,Exempt-4,Communications & Intergovernmental Affairs,F,Manager,64922,173486,Annual
NYC HOUSING AUTHORITY,External,1,"Deputy Director, Transaction Monitoring Unit",ADMINISTRATIVE INVESTIGATOR,Competitive-1,Legal Affairs,F,Manager,72038,135000,Annual
DEPARTMENT OF SANITATION,Internal,17,COLLEGE AIDE,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Finance, Accounting, & Procurement Technology, Data & Innovation Legal Affairs Policy, Research & Analysis",P,Entry-Level,15.5,19.9,Hourly
NYC HOUSING AUTHORITY,External,1,Assistant Environmental Compliance Manager (Inspections),ASSOC INSPECTOR (HOUSING CONST,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),90000,95679,Annual
LAW DEPARTMENT,Internal,1,Office Manager,CLERICAL ASSOCIATE,Competitive-1,Clerical & Administrative Support,F,Experienced (non-manager),32888,53281,Annual
BOARD OF CORRECTION,External,1,Research & Compliance Associate,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),75504,85000,Annual
DEPT. OF HOMELESS SERVICES,Internal,1,CRISIS COORDINATOR,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,83981,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"CBRN Planner,  Environmental Health Administration",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),75504,86830,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Program Manager,ASSOCIATE CONTRACT SPECIALIST,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),60193,90704,Annual
DEPARTMENT OF CORRECTION,External,1,"Senior Advisor, BBJ",CORRECTIONAL STANDARDS REVIEW,Non-Competitive-5,"Policy, Research & Analysis",,Experienced (non-manager),61302,70497,Annual
NYC HOUSING AUTHORITY,Internal,1,Environmental Compliance Manager,ADMINISTRATIVE INSPECTOR (HOUS,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Manager,110000,120000,Annual
DEPARTMENT OF TRANSPORTATION,Internal,2,Civil Engineer I,CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),67757,98128,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Assistant General Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,117541,Annual
DEPARTMENT OF TRANSPORTATION,External,1,Principal Administrative Associate,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,Experienced (non-manager),47418,69462,Annual
NYC HOUSING AUTHORITY,External,1,SUPERVISOR CARPENTER,SUPERVISOR CARPENTER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),56.8,56.8,Hourly
OFFICE OF THE COMPTROLLER,External,1,Director of Workers Rights,RESEARCH AND LIAISON COORDINAT,Non-Competitive-5,Administration & Human Resources,F,Manager,130000,150000,Annual
TAXI & LIMOUSINE COMMISSION,External,1,Call Center Director,CUSTOMER INFORMATION REP,Competitive-1,Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,Experienced (non-manager),67422,75000,Annual
TAXI & LIMOUSINE COMMISSION,External,1,Legislative Affairs Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,117541,Annual
